類別,住宅價格月指數,月變動率,季變動率,年變動率
全市,130.84,0.16%,0.15%,6.11%
大廈,135.55,-0.17%,-0.41%,6.73%
透天厝,125.21,0.23%,0.55%,4.96%
中西區,132.25,1.02%,2.58%,8.55%
安平區,135.11,0.34%,0.85%,7.28%
南區,125.68,-0.94%,-1.80%,0.48%
北區,122.86,-1.40%,-3.20%,-0.33%
永康區,126.49,-1.09%,-2.94%,-0.25%
安南區,127.16,-0.03%,-0.34%,6.74%
東區,122.34,-1.10%,-2.65%,-0.35%
仁德區,131.93,-0.52%,-1.09%,6.61%
歸仁區,134.32,-0.68%,0.29%,9.25%
南科區域,139.77,-0.91%,-1.17%,9.58%
善化區,145.23,-0.69%,-1.19%,10.57%
新市區,131.64,-1.25%,-1.64%,6.93%
佳里區,132.11,0.23%,0.62%,5.36%
新營區,132.67,0.24%,1.10%,8.36%
